coin,fundingRate,premium,time,datetime
BTC,0.0000125,-0.0000764826,1757721600038,2025-09-13 00:00:00.038
BTC,0.0000125,-0.000010039,1757725200008,2025-09-13 01:00:00.008
BTC,0.0000125,-0.0000336717,1757728800011,2025-09-13 02:00:00.011
BTC,0.0000125,-0.0000463302,1757732400107,2025-09-13 03:00:00.107
BTC,0.0000125,-0.0000062394,1757736000000,2025-09-13 04:00:00.000
BTC,0.0000125,0.0000283488,1757739600060,2025-09-13 05:00:00.060
BTC,0.0000125,0.0000921772,1757743200032,2025-09-13 06:00:00.032
BTC,0.0000125,0.0000732796,1757746800040,2025-09-13 07:00:00.040
BTC,0.0000125,0.0000942897,1757750400064,2025-09-13 08:00:00.064
BTC,0.0000125,0.0001054151,1757754000005,2025-09-13 09:00:00.005
BTC,0.0000125,0.0001329876,1757757600044,2025-09-13 10:00:00.044
BTC,0.0000125,0.0001703279,1757761200042,2025-09-13 11:00:00.042
BTC,0.0000125,0.0001417732,1757764800046,2025-09-13 12:00:00.046
BTC,0.0000125,0.000146938,1757768400035,2025-09-13 13:00:00.035
BTC,0.0000125,0.0001387322,1757772000053,2025-09-13 14:00:00.053
BTC,0.0000125,0.0000641516,1757775600013,2025-09-13 15:00:00.013
BTC,0.0000125,0.0000506095,1757779200049,2025-09-13 16:00:00.049
BTC,0.0000125,0.0000256655,1757782800030,2025-09-13 17:00:00.030
BTC,0.0000125,0.0000519228,1757786400037,2025-09-13 18:00:00.037
BTC,0.0000125,0.0000420597,1757790000042,2025-09-13 19:00:00.042
BTC,0.0000125,-0.0000106864,1757793600032,2025-09-13 20:00:00.032
BTC,0.0000125,-0.0000659235,1757797200082,2025-09-13 21:00:00.082
BTC,0.0000125,-0.0000779723,1757800800128,2025-09-13 22:00:00.128
BTC,0.0000125,-0.000099668,1757804400121,2025-09-13 23:00:00.121
BTC,0.0000125,-0.0000605572,1757808000036,2025-09-14 00:00:00.036
BTC,0.0000125,-0.0000498027,1757811600008,2025-09-14 01:00:00.008
BTC,0.0000125,-0.0000333538,1757815200034,2025-09-14 02:00:00.034
BTC,0.0000125,-0.0000186005,1757818800007,2025-09-14 03:00:00.007
BTC,0.0000125,-0.0000693678,1757822400044,2025-09-14 04:00:00.044
BTC,0.0000125,-0.0001357238,1757826000080,2025-09-14 05:00:00.080
BTC,0.0000125,-0.0001827217,1757829600022,2025-09-14 06:00:00.022
BTC,0.0000125,-0.0002243725,1757833200026,2025-09-14 07:00:00.026
BTC,0.0000125,-0.0001641614,1757836800033,2025-09-14 08:00:00.033
BTC,0.0000125,-0.0001592301,1757840400057,2025-09-14 09:00:00.057
BTC,0.0000125,-0.0001596936,1757844000048,2025-09-14 10:00:00.048
BTC,0.0000125,-0.0001262672,1757847600030,2025-09-14 11:00:00.030
BTC,0.0000125,-0.0000989404,1757851200037,2025-09-14 12:00:00.037
BTC,0.0000125,-0.0000105988,1757854800025,2025-09-14 13:00:00.025
BTC,0.0000125,-0.0001369215,1757858400084,2025-09-14 14:00:00.084
BTC,0.0000125,-0.0002384471,1757862000078,2025-09-14 15:00:00.078
BTC,0.0000125,-0.0002852358,1757865600118,2025-09-14 16:00:00.118
BTC,0.0000125,-0.0002203546,1757869200032,2025-09-14 17:00:00.032
BTC,0.0000125,-0.0001444106,1757872800027,2025-09-14 18:00:00.027
BTC,0.0000125,-0.000162762,1757876400060,2025-09-14 19:00:00.060
BTC,0.0000125,-0.0000976819,1757880000028,2025-09-14 20:00:00.028
BTC,0.0000125,-0.0000418034,1757883600035,2025-09-14 21:00:00.035
BTC,0.0000125,-0.0000036963,1757887200007,2025-09-14 22:00:00.007
BTC,0.0000125,-0.0000541831,1757890800009,2025-09-14 23:00:00.009
BTC,0.0000125,-0.0000562459,1757894400027,2025-09-15 00:00:00.027
BTC,0.0000125,0.0000262403,1757898000015,2025-09-15 01:00:00.015
BTC,0.0000125,0.00000195,1757901600009,2025-09-15 02:00:00.009
BTC,0.0000125,0.0001005323,1757905200066,2025-09-15 03:00:00.066
BTC,0.0000125,0.0000997025,1757908800008,2025-09-15 04:00:00.008
BTC,0.0000125,0.000067638,1757912400050,2025-09-15 05:00:00.050
BTC,0.0000125,0.0000381251,1757916000044,2025-09-15 06:00:00.044
BTC,0.0000125,0.0000548206,1757919600013,2025-09-15 07:00:00.013
BTC,0.0000125,0.0001219205,1757923200017,2025-09-15 08:00:00.017
BTC,0.0000125,0.0000909454,1757926800001,2025-09-15 09:00:00.001
BTC,0.0000125,-0.0000117287,1757930400048,2025-09-15 10:00:00.048
BTC,0.0000125,0.0000109707,1757934000076,2025-09-15 11:00:00.076
